City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,upernavik,72.7868,-56.1549,-27.61,90,81,3.04,GL,1679894426
1,kaitangata,-46.2817,169.8464,17.47,56,84,5.82,NZ,1679894466
2,yellowknife,62.456,-114.3525,-23.71,70,0,1.54,CA,1679894375
3,puerto asis,0.5133,-76.5007,20.59,96,73,0.2,CO,1679894467
4,vaini,-21.2,-175.2,27.09,94,75,2.57,TO,1679894467
5,bluff,-46.6,168.3333,16.12,65,72,9.91,NZ,1679894467
6,sheridan,44.8333,-106.9173,-3.79,89,100,8.75,US,1679894468
7,butaritari,3.0707,172.7902,27.8,73,41,7.88,KI,1679894469
8,bealanana,-14.55,48.7333,20.09,91,99,0.83,MG,1679894470
9,cherskiy,68.75,161.3,-14.62,85,100,4.62,RU,1679894470
10,hobyo,5.3505,48.5268,28.51,72,92,4.18,SO,1679894471
11,castro,-24.7911,-50.0119,16.67,96,78,1.23,BR,1679894471
12,esperance,-33.8667,121.9,18.16,60,73,5.59,AU,1679894472
13,hermanus,-34.4187,19.2345,14.89,73,0,6.95,ZA,1679894472
14,avarua,-21.2078,-159.775,27.03,83,75,3.6,CK,1679894473
15,newport,51.5877,-2.9984,6.3,87,100,2.91,GB,1679894202
16,hay river,60.8156,-115.7999,-24.01,77,20,1.54,CA,1679894474
17,haines junction,60.7522,-137.5108,-9.03,45,13,0.51,CA,1679894474
18,ixtapa,20.7,-105.2,21.24,83,0,1.54,MX,1679894475
19,airai,-8.9266,125.4092,21.21,76,86,1.11,TL,1679894475
20,qaanaaq,77.484,-69.3632,-24.54,65,12,3.11,GL,1679894476
21,tiksi,71.6872,128.8694,-10.03,87,100,3.04,RU,1679894476
22,cody,44.5263,-109.0565,-5.88,87,100,2.57,US,1679894477
23,narrabri,-30.3167,149.7833,31.96,54,99,1.34,AU,1679894477
24,hobart,-42.8794,147.3294,16.79,69,75,7.2,AU,1679894207
25,nokaneng,-19.6667,22.2667,21.68,77,99,1.47,BW,1679894478
26,provideniya,64.3833,-173.3,-3.94,80,75,7.15,RU,1679894478
27,coihaique,-45.5752,-72.0662,4.69,93,52,2.56,CL,1679894479
28,rognan,67.0953,15.3878,-7.92,83,5,3.59,NO,1679894480
29,picota,-6.9197,-76.3304,21.57,99,90,0.3,PE,1679894480
30,ponta do sol,32.6667,-17.1,16.35,62,34,2.24,PT,1679894481
31,kushiro,42.975,144.3747,7.53,39,20,9.77,JP,1679894481
32,clonakilty,51.6231,-8.8706,7.56,91,78,2.54,IE,1679894482
33,kapaa,22.0752,-159.319,24.18,81,100,2.06,US,1679894482
34,port-gentil,-0.7193,8.7815,24.98,100,40,1.03,GA,1679894483
35,birin,26.8865,88.0718,20.55,39,0,3.09,NP,1679894483
36,te anau,-45.4167,167.7167,14.06,71,79,3.81,NZ,1679894484
37,hovd,48.0056,91.6419,7.11,23,18,2.11,MN,1679894485
